UID No,Manufacturer,Engine Identification,Combustor Description,Eng Type,B/P Ratio,Pressure Ratio,Rated Thrust (kN),Fuel Flow T/O (kg/sec),Fuel Flow C/O (kg/sec),Fuel Flow App (kg/sec),Fuel Flow Idle (kg/sec),NOx EI T/O (g/kg),NOx EI C/O (g/kg),NOx EI App (g/kg),NOx EI Idle (g/kg),CO EI T/O (g/kg),CO EI C/O (g/kg),CO EI App (g/kg),CO EI Idle (g/kg),HC EI T/O (g/kg),HC EI C/O (g/kg),HC EI App (g/kg),HC EI Idle (g/kg),SN T/O,SN C/O,SN App,SN Idle,SN Max,Ambient Baro Min (kPa),Ambient Baro Max (kPa),Ambient Temp Min (K),Ambient Temp Max (K),Humidity Min (kg/kg),Humidity Max (kg/kg)
1AS001,Allied Signal,TFE731-2-2B,,TF,2.64,13.9,15.6,0.205,0.173,0.067,0.024,15.25,13.08,5.9,2.82,1.394,2.03,22.38,58.6,0.114,0.128,4.26,20.04,,,,,,96.7,98.1,285,288,0.0066,0.0087
1AS002,Allied Signal,TFE731-3,,TF,2.64,14.3,16.5,0.225,0.186,0.072,0.026,19.15,16.02,6.92,3.72,1.13,1.62,15.56,47.7,0.062,0.072,1.41,9.04,,,,,,97,97.3,294,313,0.0039,0.0073
4AL003,Rolls-Royce Corporation,AE3007A,,MTF,5.23,18.08,33.73,0.377,0.315,0.117,0.049,20.54,17.47,7.79,3.83,0.75,0.92,3.28,17.35,0.25,0.29,0.64,2.51,1,0,0,0,1,101.3,101.3,288,288,0.0063,0.0063
6AL005,Rolls-Royce Corporation,AE3007A1,Type 1,MTF,4.77,17.97,34.91,0.3826,0.318,0.113,0.0461,19.66,16.63,7.1,3.47,0.77,0.96,3.91,23.73,0.221,0.257,0.655,3.818,1,0.01,0.01,0.01,1,,,,,,
6AL006,Rolls-Royce Corporation,AE3007A1,Type 2,MTF,4.77,17.97,34.91,0.3826,0.318,0.113,0.0461,22.41,19.58,7.2,3.19,0.12,0.01,1.36,32.59,0,0,0.18,5.04,0.01,0.01,0.01,0.01,0.01,99.6,99.7,297,301,0.0115,0.0141
6AL008,Rolls-Royce Corporation,AE3007A1/1,Type 1,MTF,4.77,17.9,34.74,0.3805,0.3163,0.1125,0.0459,19.57,16.55,7.07,3.46,0.77,0.97,3.93,23.95,0.222,0.258,0.658,3.92,1,0.01,0.01,0.01,1,,,,,,
6AL009,Rolls-Royce Corporation,AE3007A1/1,Type 2,MTF,4.77,17.9,34.74,0.3805,0.3163,0.1125,0.0459,22.31,19.49,7.16,3.19,0,0,1.4,32.84,0,0,0.18,5.1,0.01,0.01,0.01,0.01,0.01,99.6,99.7,297,301,0.0115,0.0141
6AL011,Rolls-Royce Corporation,AE3007A1/3,Type 1,MTF,4.81,17.22,33.05,0.3589,0.2999,0.1077,0.0449,18.55,15.81,6.83,3.39,0.83,1.03,4.21,25.58,0.233,0.269,0.689,4.64,1,0.01,0.01,0.01,1,,,,,,
6AL012,Rolls-Royce Corporation,AE3007A1/3,Type 2,MTF,4.81,17.22,33.05,0.3589,0.2999,0.1077,0.0449,21.26,18.62,6.84,3.29,0,0,1.83,32.4,0,0,0.21,5.23,0.01,0.01,0.01,0.01,0.01,99.6,99.7,297,301,0.0115,0.0141
6AL014,Rolls-Royce Corporation,AE3007A1P,Type 1,MTF,4.77,17.9,34.74,0.3806,0.3163,0.1126,0.046,19.57,16.56,7.07,3.47,0.77,0.97,3.93,23.8,0.222,0.258,0.658,3.85,1,0.01,0.01,0.01,1,,,,,,
6AL015,Rolls-Royce Corporation,AE3007A1P,Type 2,MTF,4.77,17.9,34.74,0.3806,0.3163,0.1126,0.046,22.02,19.16,6.89,3.19,0,0,1.51,32.68,0,0,0.19,5.06,0.01,0.01,0.01,0.01,0.01,99.6,99.7,297,301,0.0115,0.0141
6AL017,Rolls-Royce Corporation,AE3007A3,Type 1,MTF,4.72,17.2,33,0.3583,0.2995,0.1076,0.0448,18.52,15.79,6.83,3.38,0.83,1.03,4.22,25.73,0.233,0.27,0.69,4.705,1,0.01,0.01,0.01,1,,,,,,
6AL018,Rolls-Royce Corporation,AE3007A3,Type 2,MTF,4.72,17.2,33,0.3583,0.2995,0.1076,0.0448,20.93,18.27,6.56,3.18,0,0,2,34.86,0,0,0.23,5.65,0.01,0.01,0.01,0.01,0.01,99.6,99.7,297,301,0.0115,0.0141
8AL025,Rolls-Royce Corporation,AE3007C,Type 1,MTF,5.2,15.8,29.62,0.301,0.2527,0.0943,0.0377,16.88,14.57,6.78,3.36,0.94,1.16,4.28,26.32,0.254,0.291,0.696,4.953,1,0.01,0.01,0.01,1,,,,,,
6AL022,Rolls-Royce Corporation,AE3007C,Type 2,MTF,5.2,15.8,29.62,0.301,0.2527,0.0943,0.0377,19.36,17.01,6.62,3.2,0,0,2.02,35.07,0,0.01,0.23,5.75,0.01,0.01,0.01,0.01,0.01,99.6,99.7,297,301,0.0115,0.0141
6AL023,Rolls-Royce Corporation,AE3007C1,Type 1,MTF,5.1,16.58,31.46,0.3222,0.2689,0.0991,0.0418,17.9,15.35,7.05,3.37,0.87,1.07,3.96,26.04,0.24,0.277,0.661,4.837,1,0.01,0.01,0.01,1,,,,,,
6AL024,Rolls-Royce Corporation,AE3007C1,Type 2,MTF,5.1,16.58,31.46,0.3222,0.2689,0.0991,0.0418,20.2,17.6,6.71,3.14,0,0,1.62,36.04,0,0.01,0.21,5.88,0.01,0.01,0.01,0.01,0.01,99.6,99.7,297,301,0.0115,0.0141
13AL027,Rolls-Royce Corporation,AE3007C2,Type 2,MTF,4.99,17.44,32.73,0.3263,0.2714,0.0985,0.0472,21.25,18.11,6.56,3.14,0,0,1.97,23.09,0,0.01,0.22,2.57,0.01,0.01,0.01,0.01,0.01,101.3,101.3,294,294,0.009,0.012
01P06AL028,Rolls-Royce Corporation,AE3007A1,Type 3 (reduced emissions),MTF,4.77,17.97,34.91,0.3826,0.318,0.113,0.0461,16.17,14.07,7.13,4.17,0.75,0.56,6.72,39.91,0.03,0.03,0.03,3.85,0.01,0.01,0.01,0.01,0.01,98.9,99,291,301,0.009,0.012
01P06AL029,Rolls-Royce Corporation,AE3007A1/1,Type 3 (reduced emissions),MTF,4.77,17.9,34.74,0.3805,0.3163,0.1125,0.0459,16.1,14.01,7.12,4.17,0.74,0.55,6.8,40.07,0.03,0.03,0.03,3.88,0.01,0.01,0.01,0.01,0.01,98.9,99,291,301,0.009,0.012
01P06AL030,Rolls-Royce Corporation,AE3007A1/3,Type 3 (reduced emissions),MTF,4.81,17.22,33.05,0.3589,0.2999,0.1077,0.0449,15.42,13.49,6.93,4.27,0.5,0.5,7.62,38.47,0.03,0.03,0.03,3.81,0.01,0.01,0.01,0.01,0.01,98.9,99,291,301,0.009,0.012
01P06AL031,Rolls-Royce Corporation,AE3007A1P,Type 3 (reduced emissions),MTF,4.77,17.9,34.74,0.3806,0.3163,0.1126,0.046,16.1,14.01,7.12,4.17,0.74,0.55,6.79,39.97,0.03,0.03,0.03,3.86,0.01,0.01,0.01,0.01,0.01,98.9,99,291,301,0.009,0.012
01P06AL032,Rolls-Royce Corporation,AE3007A1E,Type 3 (reduced emissions),MTF,4.72,19.06,37.16,0.4122,0.3425,0.12,0.0475,17.17,14.91,7.42,4.26,0.77,0.64,5.63,37.97,0.03,0.03,0.03,3.52,0.01,0.01,0.01,0.01,0.01,98.9,99,291,301,0.009,0.012
01P10AL033,Rolls-Royce Corporation,AE3007A2,Type 3 (reduced emissions),MTF,4.79,20.2,42.23,0.466,0.388,0.138,0.055,18.61,15.99,7.9,4.39,0.71,0.74,4.08,34.17,0,0,0,1.71,0.01,0.01,0.01,0.01,0.01,101.3,101.3,294,294,0.009,0.012
01P06AL034,Rolls-Royce Corporation,AE3007A3,Type 3 (reduced emissions),MTF,4.72,17.2,33,0.3583,0.2995,0.1076,0.0448,15.4,13.48,6.93,4.12,0.5,0.5,7.65,41.29,0.03,0.03,0.03,4.1,0.01,0.01,0.01,0.01,0.01,98.9,99,291,301,0.009,0.012
1AA001,Aviadvigatel,D-30 (Il series),,MTF,0.85,18.4,66.64,1.15,0.975,0.35,0.13,19.1,16.3,7,3.6,2.7,3.2,14.5,60.3,0.12,0.14,1.5,43.6,33,35,27,8,35,103,103,293,293,0.01048,0.01048
1AA002,Aviadvigatel,D-30KP-2,,MTF,2.2,19.45,117.6,1.67,1.42,0.49,0.21,16.5,13.5,6.3,3.3,2.2,2.8,15.4,62.4,0.7,0.8,2.7,13.3,17.5,19.5,16,6.5,19.5,102.7,103.1,284,289,0.00748,0.00748
1AA003,Aviadvigatel,D-30KU,,MTF,2.35,17.4,112.7,1.52,1.3,0.5,0.215,16.3,12.6,5.1,2.7,2.8,3.7,11.8,54,0.3,0.4,1.2,10.5,,,,,22.9,102.6,102.7,292,294,0.00788,0.00788
1AA004,Aviadvigatel,D-30KU-154,,MTF,2.3,17,107.5,1.42,1.1,0.42,0.207,14.5,11.6,5.1,2.9,3,3.6,18.2,77.7,0.4,0.5,1.9,12.7,,,,,,102.3,102.6,289,291,0.01119,0.01119
1AA005,Aviadvigatel,PS-90A,,MTF,5,30.85,156.9,1.739,1.431,0.489,0.178,37,31.5,11.8,5.8,0.35,0.4,0.9,6.9,0.12,0.12,0.2,0.3,,,,,13,102.9,104,281,285,0.00348,0.00607
13AA006,Aviadvigatel,PS-90A,94-03-809,MTF,4.48,30.8,154.6,1.532,1.279,0.511,0.1675,30.52,23.33,8.96,4.92,0.41,0.45,1.2,15.18,0.1,0.13,0.79,1.32,6.75,7.82,5.06,0.23,7.82,97.84,98.68,289.2,294.8,0.00595,0.01297
13AA007,Aviadvigatel,PS-90A1,194-03-800,MTF,4.36,33.79,169.7,1.654,1.354,0.533,0.174,35.69,26.68,9.88,4.92,0.38,0.4,1.07,12.91,0.1,0.1,0.16,0.72,14.1,16.005,13.17,0.56,16.005,97.84,100.75,284,297.5,0.00595,0.01015
